,Bedrooms1,Bathrooms1,Size1,Crime1,Transit1,Shopping1,Health1,Entertainment1,Community1,Diversity1,Schools1,Employment1,size*crime1,size*transit1,size*health1,size*shopping1,size*entertainment1,size*community1,size*diversity1,size*school1,size*employment1,Bedrooms2,Bathrooms2,Size2,Crime2,Transit2,Shopping2,Health2,Entertainment2,Community2,Diversity2,Schools2,Employment2,size*crime2,size*transit2,size*health2,size*shopping2,size*entertainment2,size*community2,size*diversity2,size*school2,size*employment2,Rank
0,0.4,1.0,0.7997997997997998,0.00849514563106796,0.5005549389567148,0.8370136698212408,0.21399594320486817,0.7585492227979275,1.0,0.9820971867007672,0.5212981744421907,1.0,0.01351593009318331,0.5005549389567148,0.32500086749663604,0.8834628190899002,0.8670684249149414,1.0,1.0,0.618531889290012,1.0,0.6,1.0,1.0,0.3847087378640776,0.20310765815760268,0.7549947423764458,0.6288032454361056,0.6424870466321243,0.5567951318458418,0.4411764705882353,0.7789046653144016,0.8924949290060853,1.0,0.5717010302834148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.2,0.5,0.6996996996996997,0.7184466019417476,0.9689234184239733,1.0,0.18559837728194728,1.0,0.6075050709939148,0.008951406649616368,0.8356997971602436,0.4929006085192698,1.0,0.8476564073571432,0.2465945937609642,0.92339203138218,1.0,0.5314718956504962,0.007973834480600751,0.8674742344898635,0.4312109203441422,0.6,1.0,1.0,0.3847087378640776,0.20310765815760268,0.7549947423764458,0.6288032454361056,0.6424870466321243,0.5567951318458418,0.4411764705882353,0.7789046653144016,0.8924949290060853,1.0,0.5717010302834148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.2,0.5,0.6996996996996997,0.7184466019417476,0.9689234184239733,1.0,0.18559837728194728,1.0,0.6075050709939148,0.008951406649616368,0.8356997971602436,0.4929006085192698,1.0,0.8476564073571432,0.2465945937609642,0.92339203138218,1.0,0.5314718956504962,0.007973834480600751,0.8674742344898635,0.4312109203441422,0.4,0.6666666666666666,0.3552690084481992,0.00849514563106796,0.5005549389567148,0.8370136698212408,0.21399594320486817,0.7585492227979275,1.0,0.9820971867007672,0.5212981744421907,1.0,0.007845056968887678,0.5005549389567148,0.12090606577833878,0.3938636918172237,0.4194466357807771,0.6380605506920298,0.7908597057629477,0.23777118534163333,0.3980627753749141,0.0
3,0.4,0.5,0.6996996996996997,0.01699029126213592,0.0388457269700333,0.23659305993690855,0.17849898580121706,0.37202072538860104,0.021298174442190673,0.7838874680306904,0.23529411764705882,0.6572008113590264,0.023648648648648646,0.03398393385738833,0.23716201367174697,0.21846814622606783,0.37202072538860104,0.018632570632154292,0.6982800766583229,0.24424031844860228,0.5749478937921896,0.6,1.0,1.0,0.3847087378640776,0.20310765815760268,0.7549947423764458,0.6288032454361056,0.6424870466321243,0.5567951318458418,0.4411764705882353,0.7789046653144016,0.8924949290060853,1.0,0.5717010302834148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.4,0.5,0.6996996996996997,0.01699029126213592,0.0388457269700333,0.23659305993690855,0.17849898580121706,0.37202072538860104,0.021298174442190673,0.7838874680306904,0.23529411764705882,0.6572008113590264,0.023648648648648646,0.03398393385738833,0.23716201367174697,0.21846814622606783,0.37202072538860104,0.018632570632154292,0.6982800766583229,0.24424031844860228,0.5749478937921896,0.4,0.6666666666666666,0.3552690084481992,0.00849514563106796,0.5005549389567148,0.8370136698212408,0.21399594320486817,0.7585492227979275,1.0,0.9820971867007672,0.5212981744421907,1.0,0.007845056968887678,0.5005549389567148,0.12090606577833878,0.3938636918172237,0.4194466357807771,0.6380605506920298,0.7908597057629477,0.23777118534163333,0.3980627753749141,0.0
5,0.4,0.5,0.6996996996996997,0.01699029126213592,0.0388457269700333,0.23659305993690855,0.17849898580121706,0.37202072538860104,0.021298174442190673,0.7838874680306904,0.23529411764705882,0.6572008113590264,0.023648648648648646,0.03398393385738833,0.23716201367174697,0.21846814622606783,0.37202072538860104,0.018632570632154292,0.6982800766583229,0.24424031844860228,0.5749478937921896,0.2,0.3333333333333333,0.3108048021342819,0.7184466019417476,0.9689234184239733,1.0,0.18559837728194728,1.0,0.6075050709939148,0.008951406649616368,0.8356997971602436,0.4929006085192698,0.5804304191277442,0.8476564073571432,0.09173754643640902,0.4116648563087773,0.483752635579971,0.33911125041609264,0.0063061843911303575,0.3334676522899067,0.17164901572416025,1.0
6,1.0,1.0,0.7997997997997998,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.12164337083864979,1.0,0.7054521199690014,1.0,0.49157567805970037,0.5425963488843814,0.8984375,1.0,0.9432048681541583,0.6,1.0,1.0,0.3847087378640776,0.20310765815760268,0.7549947423764458,0.6288032454361056,0.6424870466321243,0.5567951318458418,0.4411764705882353,0.7789046653144016,0.8924949290060853,1.0,0.5717010302834148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,1.0,1.0,0.7997997997997998,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.12164337083864979,1.0,0.7054521199690014,1.0,0.49157567805970037,0.5425963488843814,0.8984375,1.0,0.9432048681541583,0.4,0.6666666666666666,0.3552690084481992,0.00849514563106796,0.5005549389567148,0.8370136698212408,0.21399594320486817,0.7585492227979275,1.0,0.9820971867007672,0.5212981744421907,1.0,0.007845056968887678,0.5005549389567148,0.12090606577833878,0.3938636918172237,0.4194466357807771,0.6380605506920298,0.7908597057629477,0.23777118534163333,0.3980627753749141,0.0
8,1.0,1.0,0.7997997997997998,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.12164337083864979,1.0,0.7054521199690014,1.0,0.49157567805970037,0.5425963488843814,0.8984375,1.0,0.9432048681541583,0.2,0.3333333333333333,0.3108048021342819,0.7184466019417476,0.9689234184239733,1.0,0.18559837728194728,1.0,0.6075050709939148,0.008951406649616368,0.8356997971602436,0.4929006085192698,0.5804304191277442,0.8476564073571432,0.09173754643640902,0.4116648563087773,0.483752635579971,0.33911125041609264,0.0063061843911303575,0.3334676522899067,0.17164901572416025,1.0
9,1.0,1.0,0.7997997997997998,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.12164337083864979,1.0,0.7054521199690014,1.0,0.49157567805970037,0.5425963488843814,0.8984375,1.0,0.9432048681541583,0.4,0.3333333333333333,0.3108048021342819,0.01699029126213592,0.0388457269700333,0.23659305993690855,0.17849898580121706,0.37202072538860104,0.021298174442190673,0.7838874680306904,0.23529411764705882,0.6572008113590264,0.013726395046939895,0.03398393385738833,0.08822845996069938,0.09739704802258138,0.17996600639710839,0.01188870827836051,0.5522415759661299,0.093888950644731,0.2288653542988803,1.0
10,0.2,0.5,0.5995995995995996,0.5898058252427184,0.6570477247502775,0.45215562565720296,0.8782961460446247,0.4528497409326425,0.8427991886409736,0.459079283887468,1.0,0.9137931034482759,0.7035001739937362,0.49258020916823064,1.0,0.3577863005782756,0.3880643702698897,0.6318356871038089,0.3504396772006675,0.8895204444785827,0.6850589098442019,0.6,1.0,1.0,0.3847087378640776,0.20310765815760268,0.7549947423764458,0.6288032454361056,0.6424870466321243,0.5567951318458418,0.4411764705882353,0.7789046653144016,0.8924949290060853,1.0,0.5717010302834148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.2,0.5,0.5995995995995996,0.5898058252427184,0.6570477247502775,0.45215562565720296,0.8782961460446247,0.4528497409326425,0.8427991886409736,0.459079283887468,1.0,0.9137931034482759,0.7035001739937362,0.49258020916823064,1.0,0.3577863005782756,0.3880643702698897,0.6318356871038089,0.3504396772006675,0.8895204444785827,0.6850589098442019,0.4,0.6666666666666666,0.3552690084481992,0.00849514563106796,0.5005549389567148,0.8370136698212408,0.21399594320486817,0.7585492227979275,1.0,0.9820971867007672,0.5212981744421907,1.0,0.007845056968887678,0.5005549389567148,0.12090606577833878,0.3938636918172237,0.4194466357807771,0.6380605506920298,0.7908597057629477,0.23777118534163333,0.3980627753749141,0.0
12,0.2,0.5,0.5995995995995996,0.5898058252427184,0.6570477247502775,0.45215562565720296,0.8782961460446247,0.4528497409326425,0.8427991886409736,0.459079283887468,1.0,0.9137931034482759,0.7035001739937362,0.49258020916823064,1.0,0.3577863005782756,0.3880643702698897,0.6318356871038089,0.3504396772006675,0.8895204444785827,0.6850589098442019,0.2,0.3333333333333333,0.3108048021342819,0.7184466019417476,0.9689234184239733,1.0,0.18559837728194728,1.0,0.6075050709939148,0.008951406649616368,0.8356997971602436,0.4929006085192698,0.5804304191277442,0.8476564073571432,0.09173754643640902,0.4116648563087773,0.483752635579971,0.33911125041609264,0.0063061843911303575,0.3334676522899067,0.17164901572416025,1.0
13,0.2,0.5,0.5995995995995996,0.5898058252427184,0.6570477247502775,0.45215562565720296,0.8782961460446247,0.4528497409326425,0.8427991886409736,0.459079283887468,1.0,0.9137931034482759,0.7035001739937362,0.49258020916823064,1.0,0.3577863005782756,0.3880643702698897,0.6318356871038089,0.3504396772006675,0.8895204444785827,0.6850589098442019,0.4,0.3333333333333333,0.3108048021342819,0.01699029126213592,0.0388457269700333,0.23659305993690855,0.17849898580121706,0.37202072538860104,0.021298174442190673,0.7838874680306904,0.23529411764705882,0.6572008113590264,0.013726395046939895,0.03398393385738833,0.08822845996069938,0.09739704802258138,0.17996600639710839,0.01188870827836051,0.5522415759661299,0.093888950644731,0.2288653542988803,0.0
14,0.2,0.5,0.5995995995995996,0.5898058252427184,0.6570477247502775,0.45215562565720296,0.8782961460446247,0.4528497409326425,0.8427991886409736,0.459079283887468,1.0,0.9137931034482759,0.7035001739937362,0.49258020916823064,1.0,0.3577863005782756,0.3880643702698897,0.6318356871038089,0.3504396772006675,0.8895204444785827,0.6850589098442019,1.0,0.6666666666666666,0.3552690084481992,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.0706055127199891,1.0,0.26244065462786326,0.44581807327552575,0.2378010298483914,0.3462093251726531,0.7105380168963984,0.3844121692974655,0.37545474756457414,0.0
15,0.2,0.5,0.6996996996996997,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.1064189189189189,0.874843554443054,0.6171602401230688,0.874843554443054,0.43005181347150256,0.47468691848583555,0.7859922559449312,0.874843554443054,0.8251566994239757,0.6,1.0,1.0,0.3847087378640776,0.20310765815760268,0.7549947423764458,0.6288032454361056,0.6424870466321243,0.5567951318458418,0.4411764705882353,0.7789046653144016,0.8924949290060853,1.0,0.5717010302834148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,0.2,0.5,0.6996996996996997,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.1064189189189189,0.874843554443054,0.6171602401230688,0.874843554443054,0.43005181347150256,0.47468691848583555,0.7859922559449312,0.874843554443054,0.8251566994239757,0.4,0.6666666666666666,0.3552690084481992,0.00849514563106796,0.5005549389567148,0.8370136698212408,0.21399594320486817,0.7585492227979275,1.0,0.9820971867007672,0.5212981744421907,1.0,0.007845056968887678,0.5005549389567148,0.12090606577833878,0.3938636918172237,0.4194466357807771,0.6380605506920298,0.7908597057629477,0.23777118534163333,0.3980627753749141,0.0
17,0.2,0.5,0.6996996996996997,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.1064189189189189,0.874843554443054,0.6171602401230688,0.874843554443054,0.43005181347150256,0.47468691848583555,0.7859922559449312,0.874843554443054,0.8251566994239757,0.2,0.3333333333333333,0.3108048021342819,0.7184466019417476,0.9689234184239733,1.0,0.18559837728194728,1.0,0.6075050709939148,0.008951406649616368,0.8356997971602436,0.4929006085192698,0.5804304191277442,0.8476564073571432,0.09173754643640902,0.4116648563087773,0.483752635579971,0.33911125041609264,0.0063061843911303575,0.3334676522899067,0.17164901572416025,1.0
18,0.2,0.5,0.6996996996996997,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.1064189189189189,0.874843554443054,0.6171602401230688,0.874843554443054,0.43005181347150256,0.47468691848583555,0.7859922559449312,0.874843554443054,0.8251566994239757,0.4,0.3333333333333333,0.3108048021342819,0.01699029126213592,0.0388457269700333,0.23659305993690855,0.17849898580121706,0.37202072538860104,0.021298174442190673,0.7838874680306904,0.23529411764705882,0.6572008113590264,0.013726395046939895,0.03398393385738833,0.08822845996069938,0.09739704802258138,0.17996600639710839,0.01188870827836051,0.5522415759661299,0.093888950644731,0.2288653542988803,1.0
19,0.2,0.5,0.6996996996996997,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.1064189189189189,0.874843554443054,0.6171602401230688,0.874843554443054,0.43005181347150256,0.47468691848583555,0.7859922559449312,0.874843554443054,0.8251566994239757,1.0,0.6666666666666666,0.3552690084481992,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.0706055127199891,1.0,0.26244065462786326,0.44581807327552575,0.2378010298483914,0.3462093251726531,0.7105380168963984,0.3844121692974655,0.37545474756457414,0.0
20,0.2,0.5,0.6996996996996997,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.1064189189189189,0.874843554443054,0.6171602401230688,0.874843554443054,0.43005181347150256,0.47468691848583555,0.7859922559449312,0.874843554443054,0.8251566994239757,0.2,0.3333333333333333,0.2663405958203646,0.5898058252427184,0.6570477247502775,0.45215562565720296,0.8782961460446247,0.4528497409326425,0.8427991886409736,0.459079283887468,1.0,0.9137931034482759,0.40833290084762525,0.49258020916823064,0.3720176709361867,0.15950759916818494,0.1877271618927409,0.4031494264603333,0.27714861999858226,0.34194248369645774,0.272696450947896,1.0
21,0.6,1.0,0.7997997997997998,0.07645631067961164,1.0,0.9474237644584648,0.4645030425963489,0.43005181347150256,0.5425963488843814,0.8823529411764706,0.8427991886409736,0.9432048681541583,0.12164337083864979,1.0,0.7054521199690014,1.0,0.49157567805970037,0.5425963488843814,0.8984375,1.0,0.9432048681541583,0.6,1.0,1.0,0.3847087378640776,0.20310765815760268,0.7549947423764458,0.6288032454361056,0.6424870466321243,0.5567951318458418,0.4411764705882353,0.7789046653144016,0.8924949290060853,1.0,0.5717010302834148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
